y,agency,commissionPercent,metroDistance,metroStation,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area,vip
2,Yes,0,2300,Горьковская,Автозаводская линия,1-к квартира,34.0,9,9,1568040300,2 недели назад,56.301164,44.025237,603105,Советский район,No
2,No,0,2200,Парк Культуры,Автозаводская линия,2-к квартира,43.0,3,9,1568026260,2 недели назад,56.235886,43.825479,603142,Автозаводский район,No
4,No,70,1700,Горьковская,Автозаводская линия,3-к квартира,85.6,6,10,1568051340,2 недели назад,56.307446999999996,44.019865,603105,Советский район,No
2,Yes,60,2000,Буревестник,Сормовская линия,2-к квартира,43.0,2,5,1568017800,2 недели назад,56.316564,43.884337,603079,Канавинский район,No
2,Yes,50,4900,Горьковская,Автозаводская линия,2-к квартира,60.0,7,9,1568025120,2 недели назад,56.280786,44.047246,603162,Советский район,No
1,Yes,70,2100,Буревестник,Сормовская линия,1-к квартира,36.0,2,2,1568021880,2 недели назад,56.32218,43.86649600000001,603047,Московский район,No
3,Yes,70,4100,Автозаводская,Автозаводская линия,2-к квартира,50.0,10,12,1568023080,2 недели назад,56.23474,43.954351,603137,Приокский район,No
3,No,0,1800,Горьковская,Автозаводская линия,2-к квартира,43.0,6,9,1568026920,2 недели назад,56.321626,44.019954999999996,603155,Нижегородский район,No
3,Yes,50,1200,Московская,Сормовская линия,3-к квартира,75.0,2,9,1568017620,2 недели назад,56.331912,43.945242,603070,Канавинский район,No
1,Yes,55,1600,Бурнаковская,Сормовская линия,1-к квартира,36.0,2,5,1568009340,2 недели назад,56.319679,43.889682,603044,Московский район,No
3,Yes,60,4400,Горьковская,Автозаводская линия,2-к квартира,48.0,2,9,1568032440,2 недели назад,56.28295,44.039431,603162,Советский район,No
1,Yes,50,6600,Буревестник,Сормовская линия,1-к квартира,22.0,8,17,1568011860,2 недели назад,56.36249100000001,43.798026,603139,Сормовский район,No
